t_seconds,timestamp,kind,detail,magnitude
0.033,00:00.033,attention,MAIN_MONITOR_RIGHT az=+6.7 el=-9.7 share=0.37,12.2731
0.533,00:00.533,subfixation,MAIN_MONITOR_UPPER az=-0.2 el=-4.3 share=0.00,8.7165
2.533,00:02.533,attention,MAIN_MONITOR_CENTER az=-5.2 el=-12.0 share=0.48,9.1719
3.033,00:03.033,subfixation,MAIN_MONITOR_UPPER az=-4.8 el=-5.0 share=0.12,7.0479
3.100,00:03.100,blink,dur=191ms depth=0.98,0.9833
3.367,00:03.367,blink,dur=200ms depth=0.98,0.9825
4.467,00:04.467,subfixation,MAIN_MONITOR_LEFT az=-12.5 el=-11.9 share=0.58,10.3393
5.967,00:05.967,subfixation,MAIN_MONITOR_UPPER az=-5.4 el=-6.1 share=0.20,9.1626
6.000,00:06.000,blink,dur=259ms depth=0.98,0.9803
8.033,00:08.033,subfixation,MAIN_MONITOR_RIGHT az=+5.9 el=-11.1 share=0.40,12.3883
8.433,00:08.433,blink_partial,dur=240ms depth=0.85,0.8488
8.500,00:08.500,state_change,IDLE_ATTENTIVE -> CHECKING_CHAT,0.0000
8.633,00:08.633,head_roll,"to=(+0.86,+0.36,-0.89)deg dur=0.69s",0.8938
8.967,00:08.967,attention,CHAT_REGION az=+27.0 el=-11.5 share=0.88,21.0830
14.800,00:14.800,blink_partial,dur=194ms depth=0.84,0.8430
16.567,00:16.567,attention,DESK_MOUSE az=-14.7 el=-29.7 share=0.88,45.4895
16.700,00:16.700,state_change,CHECKING_CHAT -> IDLE_ATTENTIVE,0.0000
17.500,00:17.500,attention,MAIN_MONITOR_CENTER az=-5.9 el=-12.3 share=0.50,19.4466
18.867,00:18.867,subfixation,MAIN_MONITOR_LEFT az=-11.9 el=-11.2 share=0.54,6.0640
20.133,00:20.133,attention,CAMERA_LENS az=-0.6 el=+0.9 share=0.00,16.5365
20.367,00:20.367,blink,dur=232ms depth=0.98,0.9753
22.900,00:22.900,blink,dur=245ms depth=0.98,0.9814
25.433,00:25.433,blink_partial,dur=228ms depth=0.60,0.6049
26.167,00:26.167,attention,MAIN_MONITOR_UPPER az=-1.7 el=-5.9 share=0.04,6.9182
27.100,00:27.100,subfixation,MAIN_MONITOR_RIGHT az=+4.4 el=-11.7 share=0.40,8.4013
29.133,00:29.133,posture_shift,"to=(-0.0054,-0.0026) dur=2.31s",0.0081
29.633,00:29.633,subfixation,MAIN_MONITOR_UPPER az=-1.5 el=-5.6 share=0.00,8.4466
32.067,00:32.067,subfixation,MAIN_MONITOR_LEFT az=-13.5 el=-12.3 share=0.61,13.7044
33.067,00:33.067,state_change,IDLE_ATTENTIVE -> READING,0.0000
33.067,00:33.067,blink,dur=172ms depth=1.00,0.9998
33.300,00:33.300,subfixation,MAIN_MONITOR_RIGHT az=+5.2 el=-10.8 share=0.55,18.6896
34.867,00:34.867,attention,MAIN_MONITOR_LOWER az=-5.3 el=-16.8 share=0.88,12.0768
36.333,00:36.333,subfixation,MAIN_MONITOR_CENTER az=-2.4 el=-12.3 share=0.65,5.4264
37.333,00:37.333,attention,MAIN_MONITOR_RIGHT az=+8.5 el=-10.6 share=0.65,11.0595
38.367,00:38.367,head_yaw,"to=(-0.60,+0.07,-1.08)deg dur=0.87s",1.4581
39.833,00:39.833,attention,MAIN_MONITOR_LEFT az=-15.6 el=-13.4 share=0.88,24.3325
40.633,00:40.633,subfixation,MAIN_MONITOR_UPPER az=-3.6 el=-6.9 share=0.26,13.6967
42.133,00:42.133,subfixation,MAIN_MONITOR_CENTER az=-3.3 el=-11.4 share=0.61,4.5046
43.500,00:43.500,blink_partial,dur=187ms depth=0.62,0.6157
43.533,00:43.533,attention,MAIN_MONITOR_LOWER az=-6.0 el=-19.8 share=0.88,8.7625
46.167,00:46.167,subfixation,MAIN_MONITOR_RIGHT az=+7.0 el=-10.4 share=0.59,15.9738
47.400,00:47.400,attention,MAIN_MONITOR_UPPER az=-2.0 el=-7.5 share=0.26,9.4265
47.867,00:47.867,subfixation,MAIN_MONITOR_LOWER az=-5.1 el=-18.8 share=0.88,11.6530
48.933,00:48.933,expression,brow_tension peak=0.181 dur=2.81s,0.1809
49.200,00:49.200,state_change,READING -> FOCUSED,0.0000
49.200,00:49.200,expression_emotion,FOCUSED,0.6352
53.467,00:53.467,subfixation,MAIN_MONITOR_RIGHT az=+9.0 el=-12.4 share=0.64,15.4105
56.200,00:56.200,subfixation,MAIN_MONITOR_LEFT az=-14.8 el=-10.6 share=0.76,23.8701
